country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ANNEXI,UNFCCC_AI,Total GHG emissions without LULUCF,CH4,2514.78,2467.53,2417.69,2365.06,2322.37,2287.97,2262.57,2223.52,2174.22,2142.52,2114.87,2097.41,2065.52,2063.48,2047.81,2034.47,2030.31,2026.79,2014.29,1951.73,1955.28,1931.68,1922.46,1902.18,1885.13,1867.6,1855.08,1876.6,1893.97
ANNEXI,UNFCCC_AI,Total GHG emissions without LULUCF,CO2,15093.88,14793.25,14303.75,14134.66,13959.59,14053.3,14334.42,14235.23,14233.04,14301.75,14533.65,14530.4,14583.97,14823.26,14978.78,15023.99,15025.67,15154,14793.29,13753.56,14248.6,14112.5,13932.13,13920.28,13714.2,13552.19,13416.9,13430.48,13530.37
ANNEXI,UNFCCC_AI,Total GHG emissions without LULUCF,N2O,1156.13,1110.05,1077.98,1084.48,1052.68,1056.11,1069.86,1051.09,1017.84,972.61,962.98,971.74,958.2,953.76,975.49,954.12,939.19,949.97,931.23,908.39,904.74,903.87,870.36,925.41,938.8,933.74,924.57,927.78,938.96
ANNEXI,UNFCCC_AI,Waste,Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNEXI,UNFCCC_AI,Waste,Aggregate GHGs,603.67,609.97,612.26,611.17,612.42,609.23,604.5,590.84,577.18,568.28,563.67,555.26,551.03,548.58,539.39,530.2,523.29,517.26,509.87,498.97,494.45,481.25,479,470.34,466.79,465.73,460.6,459.65,462.66
ANNEXI,UNFCCC_AI,Waste,CH4,560.56,566.95,568.2,567.42,566.07,562.47,557.25,543.31,529.43,520.74,515.58,507.61,503.47,500.36,492.01,482.52,476.23,469.78,461.18,452.66,447.08,434.75,431.74,422.64,419.31,418.09,412.8,411.39,414.75
ANNEXI,UNFCCC_AI,Waste,CO2,18.67,18.67,19.78,19.43,21.69,21.8,22.05,21.99,21.85,21.33,21.49,20.29,19.93,20.12,19.28,18.85,17.95,18.15,19.18,16.55,16.86,15.9,16.49,16.28,15.83,15.5,15.04,14.93,14.29
ANNEXI,UNFCCC_AI,Waste,N2O,24.43,24.35,24.27,24.31,24.66,24.96,25.2,25.53,25.9,26.2,26.6,27.36,27.63,28.1,28.1,28.83,29.11,29.32,29.51,29.76,30.51,30.6,30.77,31.42,31.66,32.15,32.75,33.33,33.63
AUS,UNFCCC_AI,Agriculture,Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,Agriculture,Aggregate GHGs,84.78034673,84.00562109,81.25832234,79.27342836,79.38679694,75.93759804,78.1250582,79.34995022,79.28365134,79.3679652,82.53472121,81.54653664,81.43498535,75.92621629,79.4255972,80.05608222,78.54734176,74.65088769,72.14568942,72.46852372,70.1408605,74.72811452,76.17356392,76.3691377,76.84153715,74.03708595,73.12270494,77.01806239,75.58763857
AUS,UNFCCC_AI,Agriculture,CH4,71.55138659,70.9744346,68.69997561,66.6079761,66.21166369,63.57175455,64.73944791,65.15209401,64.94607414,64.42710952,66.65078162,65.7178374,65.32959159,61.57202374,63.37774476,64.21104237,62.84393758,60.6841628,58.2767112,57.8890492,55.48145588,58.80748533,59.92925993,60.32798947,59.74850464,57.40885,56.23944437,58.35695079,58.38793842
AUS,UNFCCC_AI,Agriculture,CO2,0.582013209,0.634896142,0.689811223,0.767034611,0.868784883,0.919397407,0.94555277,1.153686321,1.328724678,1.512899648,1.701121427,1.818643351,1.9304128,1.925923746,2.035070068,1.963452358,1.829691146,1.815787255,1.830382473,1.943183733,2.189138773,2.200550764,2.045073727,2.03811239,2.490909726,2.532969648,2.663250306,2.861739749,2.67471425
AUS,UNFCCC_AI,Agriculture,N2O,12.64694694,12.39629035,11.86853551,11.89841765,12.30634837,11.44644607,12.44005752,13.04416988,13.00885252,13.42795603,14.18281816,14.01005589,14.17498097,12.4282688,14.01278237,13.88158748,13.87371303,12.15093763,12.03859574,12.63629078,12.47026584,13.72007842,14.19923026,14.00303584,14.60212278,14.0952663,14.22001027,15.79937185,14.5249859
AUS,UNFCCC_AI,Energy,Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,Energy,Aggregate GHGs,294.1605979,296.7236976,303.3028612,306.1327374,306.8161017,319.0109568,326.3821497,337.4284748,350.8269558,355.7546718,364.4936219,371.6920072,374.8211941,380.2981429,393.7475252,399.8863626,406.1121324,413.5107681,419.1073292,424.1322977,419.5018388,416.9600561,422.0737338,414.6721743,409.3062396,419.4520713,430.1586178,433.8065469,435.5709377
AUS,UNFCCC_AI,Energy,CH4,33.10973317,33.64938164,35.60886731,34.24560398,32.04192381,33.05453505,33.68862413,36.37592109,36.36517433,32.67977082,34.72032662,34.05517217,32.54601446,31.94296406,32.67335778,33.69177313,34.71050926,36.26242539,36.51092108,36.0230847,35.96213746,35.30554113,35.37784508,34.90193374,33.30653504,36.48085821,37.67508574,37.78930955,39.05493738
AUS,UNFCCC_AI,Energy,CO2,259.0893482,261.0781907,265.6366192,269.693023,272.4938737,283.5471666,290.1873218,298.4199456,311.6586594,320.1552738,326.7386555,334.4678583,338.8832182,344.6995166,357.3075939,362.4003799,367.6453879,373.4634368,378.8044983,384.4192661,379.9260462,377.9581542,383.0293313,376.1265813,372.4906362,379.6901737,389.2377462,392.7593282,393.4082232
AUS,UNFCCC_AI,Energy,N2O,1.961516546,1.996125322,2.057374732,2.194110446,2.280304123,2.409255139,2.50620373,2.632608167,2.803122063,2.919627151,3.034639784,3.168976705,3.391961417,3.655662269,3.766573545,3.794209614,3.756235193,3.784905967,3.791909801,3.689946915,3.613655136,3.696360726,3.666557384,3.643659278,3.50906836,3.281039369,3.245785907,3.257909127,3.107777114
AUS,UNFCCC_AI,Industrial Processes and Product Use,Aggregate F-gases,6.252256133,6.274768899,6.194578713,5.422268921,3.487378651,2.851082725,2.113663519,2.200152275,2.899015795,2.724887761,3.113441822,4.327785769,4.878616746,5.491995901,6.211649847,6.990678884,6.039834201,6.823990334,7.466804859,8.614618235,9.098271143,9.581912193,9.498247618,10.19354566,11.12655661,12.13758705,12.39069352,12.07855608,12.44661808
AUS,UNFCCC_AI,Industrial Processes and Product Use,Aggregate GHGs,26.03142828,25.28104972,25.90114292,25.61292021,25.54878061,25.20191095,24.93914087,25.09552624,26.37353577,26.84256079,26.68368228,27.87014604,28.56349906,31.16748027,32.62255777,31.87559792,31.95148436,34.21064638,34.42415579,32.78191787,35.70716713,36.24214274,33.40212114,31.49576046,31.70911706,33.06752596,32.99248921,33.13327667,34.19744891
AUS,UNFCCC_AI,Industrial Processes and Product Use,CH4,0.081645721,0.075137243,0.082306003,0.083292439,0.093005525,0.098387162,0.100478741,0.098384722,0.102829084,0.095999514,0.086790424,0.081024217,0.080381708,0.086472119,0.086310763,0.081794398,0.088659695,0.089278723,0.089320471,0.077147719,0.092361972,0.097591631,0.075326522,0.068477572,0.065017949,0.068674614,0.070578301,0.073485044,0.077431236
AUS,UNFCCC_AI,Industrial Processes and Product Use,CO2,18.67993852,18.08607298,18.51237518,18.70136968,20.57840919,20.86402577,21.17059425,21.19348616,21.66904928,22.36680985,21.72758414,21.35487564,21.36795842,23.07246281,23.83419379,22.12119372,23.17686321,24.5341887,23.75303382,21.07096894,23.35790836,23.98423966,21.40187749,19.74809695,19.1045604,19.30113129,19.09990924,19.44561425,19.84030453
AUS,UNFCCC_AI,Industrial Processes and Product Use,N2O,1.017587903,0.845070594,1.111883024,1.405989169,1.389987238,1.388415292,1.554404362,1.603503084,1.702641616,1.65486366,1.755865892,2.106460413,2.23654219,2.516549442,2.490403376,2.681930912,2.646127262,2.763188631,3.114996636,3.019182969,3.158625657,2.578399256,2.426669514,1.485640281,1.4129821,1.560133008,1.431308157,1.535621299,1.833095067
AUS,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,192.652628,174.1524067,111.4366838,93.18552939,82.73951913,58.93721307,60.22005767,53.32754489,33.70452438,45.19098443,56.0031182,78.96537704,66.58467728,80.42257646,66.36050551,91.00863337,84.06350315,97.71469879,82.68794741,71.90605712,52.96614364,30.51700159,10.60059487,5.621187554,9.328507667,0.202361769,-22.71419039,-27.12574589,-20.60082721
AUS,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",CH4,18.4603725,18.83450155,16.63698522,16.68565671,16.14715618,15.86045356,16.77950465,16.80828888,15.92777043,17.64561879,18.76437189,18.44911366,18.65084053,18.09232391,18.23686641,17.62495958,18.10580609,19.10623569,18.22596475,18.70155587,17.01277657,18.35006275,14.88118202,17.17166534,18.46912899,17.56225506,16.23353011,17.38789852,15.76813686
