Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andorra,AND,Coal,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Gas flaring,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Gas,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Cement,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Total fossil fuels and cement,GCP,CO2,0.54895,0.45371,1.1791,1.1497,1.2229,1.1862,1.5525,0.99181,1.6695,2.7831,3.5779,3.4054,4.5005,4.8737,4.8664,4.4088,3.28,3.5275,5.3998,5.4892,5.3344,5.2668,4.6352,5.1005,4.9858,4.6761,4.6338,5.786,5.0493,4.9227,5.0887,5.0629,5.165,5.7484,3.8656,10.9483,10.4248,7.3478,7.2696,9.1298,9.5151,9.6715,12.5975,8.9884,18.7019,19.0064,22.1024,24.9761,25.486,27.5655,28.8645,30.3297,33.8006,33.2285,44.2488,33.979,34.1109,37.4708,37.6786,38.0203
Angola,AGO,Oil,GCP,CO2,0.34577,0.31397,1.0045,1.0332,1.0406,1.0113,1.3337,0.79875,1.4149,2.5021,1.7423,1.6434,2.4749,2.5098,2.4494,2.1801,1.9346,1.0736,2.6784,2.77,2.6582,2.7627,2.1564,2.5355,2.2917,1.9602,1.8686,2.9239,1.9053,1.7453,2.4751,2.281,2.29,2.9678,1.2971,8.4162,7.0385,3.3306,2.7627,3.708,3.6677,4.3015,5.0197,6.837,5.0343,4.7339,7.7567,8.8009,10.2189,12.2964,13.3699,14.3446,17.2684,17.4406,28.2398,17.0669,17.917,20.1264,20.3768,20.8634
Angola,AGO,Coal,GCP,CO2,0.12375,0.062794,0.091316,0.021984,0.076944,0.05496,0.087936,0.05496,0.10237,0.091721,0.047583,0.029281,0.007322,0.021984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gas flaring,GCP,CO2,,,,,,,,,,,1.4824,1.3872,1.5999,1.8357,1.9112,1.7807,1.0882,2.1728,2.3963,2.3963,2.4162,2.2167,2.193,2.268,2.3173,2.3413,2.3669,2.4146,2.4219,2.442,1.4975,1.5927,1.6854,1.6305,1.4986,1.4033,2.2277,2.8286,3.2793,4.2905,4.6826,4.1586,6.1812,0.65586,11.9263,12.5016,12.5016,14.0404,13.3113,13.2857,13.5458,13.8169,13.9635,13.4652,13.4531,13.4579,12.7617,13.8353,13.8353,13.8353
Angola,AGO,Gas,GCP,CO2,,,,,,,,,,,0.084186,0.084181,0.10983,0.12458,0.1318,0.12458,0.10992,0.13557,0.13557,0.13557,0.14666,0.17221,0.17207,0.19786,0.22,0.21984,0.24549,0.29678,0.30045,0.319,1.0105,1.0838,1.0662,1.0479,0.97096,1.0479,1.0479,1.0662,1.0845,1.0479,1.0845,0.98928,1.1578,1.2164,1.44,1.2494,1.3044,1.5938,1.2714,1.2897,1.3703,1.4033,1.4216,0.76578,0.57886,1.44,1.4949,1.5719,1.5291,1.3843
Angola,AGO,Cement,GCP,CO2,0.079425,0.07694,0.08333,0.094491,0.10539,0.11993,0.13083,0.1381,0.15231,0.18923,0.22146,0.26139,0.30866,0.3816,0.37405,0.32345,0.14732,0.14564,0.1896,0.18738,0.11323,0.11519,0.1137,0.099175,0.15682,0.15474,0.15277,0.1508,0.42167,0.41639,0.10557,0.10541,0.12338,0.10216,0.099004,0.080879,0.11067,0.12244,0.14313,0.083362,0.080261,0.22206,0.23887,0.27904,0.30132,0.52155,0.53977,0.54089,0.68439,0.69373,0.57839,0.76489,1.147,1.5569,1.9771,2.0143,1.9374,1.9374,1.9374,1.9374
Antigua and Barbuda,ATG,Total fossil fuels and cement,GCP,CO2,0.03664,0.047632,0.10259,0.084272,0.0916,0.15022,0.34808,0.56426,0.98928,1.2568,0.46166,0.42502,0.37373,0.32976,0.42869,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.21984,0.21251,0.20885,0.21618,0.21618,0.2235,0.23816,0.25648,0.27114,0.28213,0.29312,0.29678,0.32976,0.35174,0.3664,0.37373,0.38472,0.4067,0.4177,0.44334,0.45434,0.44334,0.458,0.46166,0.46166,0.47998,0.49098,0.49098,0.50557,0.49234
Antigua and Barbuda,ATG,Oil,GCP,CO2,0.03664,0.047632,0.10259,0.084272,0.0916,0.15022,0.34808,0.56426,0.98928,1.2568,0.46166,0.42502,0.37373,0.32976,0.42869,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.21984,0.21251,0.20885,0.21618,0.21618,0.2235,0.23816,0.25648,0.27114,0.28213,0.29312,0.29678,0.32976,0.35174,0.3664,0.37373,0.38472,0.4067,0.4177,0.44334,0.45434,0.44334,0.458,0.46166,0.46166,0.47998,0.49098,0.49098,0.50557,0.49234
Antigua and Barbuda,ATG,Coal,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gas flaring,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gas,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Cement,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
